Date,Close,Volume,Open,High,Low
3/27/2014,60.97,112453500,60.51,61.9,57.98
3/28/2014,60.01,66888000,61.34,61.95,59.34
3/31/2014,60.24,52921180,60.78,61.52,59.87
4/1/2014,62.62,59098260,60.46,62.66,60.24
4/2/2014,62.72,66149490,63.21,63.91,62.21
4/3/2014,59.49,83585460,62.55,63.17,59.13
4/4/2014,56.75,125198200,59.94,60.2,56.32
4/7/2014,56.95,108324400,55.9,58,55.44
4/8/2014,58.19,78732130,57.68,58.71,57.17
4/9/2014,62.41,99918180,59.63,62.46,59.19
4/10/2014,59.16,114767600,63.08,63.18,58.68
4/11/2014,58.53,91373170,57.6,60.31,57.31
4/14/2014,58.89,72152260,60.09,60.45,57.78
4/15/2014,59.09,108466300,59.29,59.68,55.88
4/16/2014,59.72,78548910,59.79,60.19,57.74
4/17/2014,58.94,87956250,59.3,60.58,58.72
4/21/2014,61.24,60064820,59.46,61.24,59.15
4/22/2014,63.03,60328420,62.65,63.44,62.22
4/23/2014,61.36,94013700,63.45,63.48,61.26
4/24/2014,60.87,138477000,63.6,63.65,59.77
4/25/2014,57.71,92257140,59.97,60.01,57.57
4/28/2014,56.14,107534200,58.05,58.31,54.66
4/29/2014,58.15,75339000,56.09,58.28,55.84
4/30/2014,59.78,75599310,57.58,59.85,57.16
5/1/2014,61.15,82319330,60.43,62.28,60.21
5/2/2014,60.46,54086030,61.3,61.89,60.18
5/5/2014,61.22,45938990,59.67,61.35,59.18
5/6/2014,58.53,55798800,60.98,61.15,58.49
5/7/2014,57.39,78450290,58.77,59.3,56.26
5/8/2014,56.76,61143360,57.23,58.82,56.5
5/9/2014,57.24,52497050,56.85,57.65,56.38
5/12/2014,59.83,48403930,57.98,59.9,57.98
5/13/2014,59.83,48442200,59.66,60.89,59.51
5/14/2014,59.23,47379700,59.53,60.45,58.95
5/15/2014,57.92,56691940,59.26,59.38,57.52
5/16/2014,58.02,47850350,58.31,58.45,57.31
5/19/2014,59.21,42968380,57.89,59.56,57.57
5/20/2014,58.56,53804590,59.5,60.19,58.18
5/21/2014,60.49,58814920,58.56,60.5,58.25
5/22/2014,60.52,54067890,60.94,61.48,60.4
5/23/2014,61.35,38210700,60.41,61.45,60.15
5/27/2014,63.48,55546990,61.62,63.51,61.57
5/28/2014,63.51,47746450,63.39,64.14,62.62
5/29/2014,63.83,42333090,63.84,64.3,63.51
5/30/2014,63.3,45224820,63.95,64.17,62.56
6/2/2014,63.08,35946770,63.23,63.59,62.05
6/3/2014,62.87,32097900,62.62,63.42,62.32
6/4/2014,63.34,36460620,62.45,63.59,62.07
6/5/2014,63.19,47278710,63.66,64.36,62.82
6/6/2014,62.5,42373250,63.37,63.48,62.15
6/9/2014,62.88,37474470,62.4,63.34,61.79
6/10/2014,65.77,69105010,63.53,65.82,63.5
6/11/2014,65.78,44132140,65.32,65.8,64.9
6/12/2014,64.29,55604800,65.85,66.47,64.06
6/13/2014,64.5,29367820,64.7,64.97,63.83
6/16/2014,64.19,30849450,64.16,64.88,63.75
6/17/2014,64.4,27629660,64.1,64.88,63.93
6/18/2014,65.6,35450700,64.49,65.75,64.05
6/19/2014,64.34,34097910,65.46,65.58,64.21
6/20/2014,64.5,46394230,64.46,64.81,63.35
6/23/2014,65.37,34424160,64.32,65.66,64.22
6/24/2014,65.72,57260230,65.36,67.17,65.27
6/25/2014,67.44,44183630,65.58,67.48,65.57
6/26/2014,67.13,47618020,68,68,66.9
6/27/2014,67.6,46396950,67.31,67.7,66.84
6/30/2014,67.29,27078350,67.46,67.92,67.13
7/1/2014,68.06,33156390,67.58,68.44,67.39
7/2/2014,66.45,41778400,68.04,68.3,65.79
7/3/2014,66.29,25203220,66.86,67,65.76
7/7/2014,65.29,28688050,66.3,66.57,65.12
7/8/2014,62.76,68838080,65.06,65.56,62.21
7/9/2014,64.97,51298480,63.41,65.12,63.15
7/10/2014,64.87,44348430,63.31,65.34,63.05
7/11/2014,66.34,39147600,65.28,66.59,64.79
7/14/2014,67.9,38404830,67.13,68.17,66.9
7/15/2014,67.17,44145960,67.96,68.09,66.26
7/16/2014,67.66,29525060,67.54,67.94,67.07
7/17/2014,66.41,37941770,67.03,67.85,66.04
7/18/2014,68.42,42223010,66.8,68.46,66.16
7/21/2014,69.4,49386920,68.81,69.96,68.5
7/22/2014,69.27,40227960,69.76,69.77,68.61
7/23/2014,71.29,74712560,69.74,71.33,69.61
7/24/2014,74.98,123026900,75.96,76.74,74.51
7/25/2014,75.19,45792800,74.99,75.67,74.66
7/28/2014,74.92,41556090,75.17,75.5,73.85
7/29/2014,73.71,41050770,74.72,74.92,73.42
7/30/2014,74.68,36804070,74.21,75.19,74.13
7/31/2014,72.65,43811380,74,74.17,72.44
8/1/2014,72.36,43402770,72.22,73.22,71.55
8/4/2014,73.51,30630370,72.36,73.88,72.36
8/5/2014,72.69,34918620,73.2,73.59,72.18
8/6/2014,72.47,30898990,72.02,73.72,71.79
8/7/2014,73.17,38049750,73,74,72.7
8/8/2014,73.06,27097750,73.4,73.43,72.56
8/11/2014,73.44,24533690,73.46,73.91,73.06
8/12/2014,72.83,27347900,73.09,73.33,72.22
8/13/2014,73.77,29181990,73.12,74.25,73.05
8/14/2014,74.3,22163750,73.97,74.38,73.69
8/15/2014,73.63,38837920,74.32,74.65,73
8/18/2014,74.59,23898550,74,74.72,73.96
8/19/2014,75.29,26596500,74.81,75.58,74.77
8/20/2014,74.81,22863680,74.97,75.18,74.62
8/21/2014,74.57,20053690,74.92,75.19,74.41
8/22/2014,74.57,20847650,74.34,74.73,73.57
8/25/2014,75.02,19683350,74.94,75.28,74.79
8/26/2014,75.96,23793170,75,75.99,74.73
8/27/2014,74.63,36213130,75.27,75.49,74.46
8/28/2014,73.86,21898440,74,74.43,73.73
8/29/2014,74.82,26215560,74.3,74.82,74.01
9/2/2014,76.68,34744550,75.01,76.7,74.82
9/3/2014,75.83,32311920,77.14,77.48,75.6
9/4/2014,75.95,26581940,75.89,76.93,75.53
9/5/2014,77.26,29387630,76.1,77.38,75.6
9/8/2014,77.89,28135810,77.26,78.17,77.01
9/9/2014,76.67,28723090,77.59,78.17,76.2
9/10/2014,77.43,29836020,76.52,77.95,76.51
9/11/2014,77.92,32181110,77.13,78.36,77.05
9/12/2014,77.48,26655670,78.02,78.3,77.1
9/15/2014,74.58,49552660,77.15,77.25,73.43
9/16/2014,76.08,37662500,73.52,76.23,73.07
9/17/2014,76.43,28498200,75.96,77.25,75.57
9/18/2014,77,22939820,76.77,77.33,76.52
9/19/2014,77.91,76614560,77.4,78.3,76.44
9/22/2014,76.8,31908240,77,77.53,75.95
9/23/2014,78.29,36666690,76.33,78.63,76.04
9/24/2014,78.54,30638360,78.1,78.62,77.51
9/25/2014,77.22,37392870,78.6,78.94,77.13
9/26/2014,78.79,28827060,77.59,78.84,77.33
9/29/2014,79,33969370,78.12,79.2,77.91
9/30/2014,79.04,35816980,79.35,79.71,78.6
10/1/2014,76.55,55006570,78.78,78.82,75.9
10/2/2014,77.08,36468900,76.57,77.48,75.64
10/3/2014,77.44,23280910,77.76,78.06,77.26
10/6/2014,77.56,25689890,77.19,77.89,76.85
10/7/2014,76.29,25241360,77.05,77.95,76.24
10/8/2014,77.52,32853310,76.18,77.71,75.1
10/9/2014,75.91,32421030,77.28,77.76,75.85
10/10/2014,72.91,52068580,75.59,76.5,72.76
10/13/2014,72.99,43847640,73.23,74.78,72.52
10/14/2014,73.59,50126990,74,74.18,72.05
10/15/2014,73.21,61397390,71.69,73.8,70.32
10/16/2014,72.63,53456880,70.79,73.35,70.58
10/17/2014,75.95,76263220,74.23,76,73.75
10/20/2014,76.95,34555900,75.6,77.09,75.38
10/21/2014,78.69,32176370,77.56,78.74,77.15
10/22/2014,78.37,41799140,78.82,79.85,78.01
10/23/2014,80.04,34892410,79.38,80.63,79.01
10/24/2014,80.67,32123520,80.2,80.82,79.32
10/27/2014,80.28,29806870,80.74,80.8,79.76
10/28/2014,80.77,61137040,80.18,81.16,79.57
10/29/2014,75.86,105883000,75.45,76.88,74.78
